"(0.006704449638828547, 0.752206423568079)","[(0.006704449638828547, 0.752206423568079), (0.017835017413628362, 0.7641068798092974), (0.049413802984458854, 0.7270632083918569), (0.051136177487528744, 0.8156934216558992), (0.01622387313827467, 0.6263564686323655)]"
"(0.049413802984458854, 0.7270632083918569)","[(0.049413802984458854, 0.7270632083918569), (0.017835017413628362, 0.7641068798092974), (0.006704449638828547, 0.752206423568079), (0.051136177487528744, 0.8156934216558992), (0.01622387313827467, 0.6263564686323655)]"
"(0.051136177487528744, 0.8156934216558992)","[(0.051136177487528744, 0.8156934216558992), (0.017835017413628362, 0.7641068798092974), (0.006704449638828547, 0.752206423568079), (0.049413802984458854, 0.7270632083918569), (0.01622387313827467, 0.6263564686323655)]"
"(0.01622387313827467, 0.6263564686323655)","[(0.01622387313827467, 0.6263564686323655), (0.049413802984458854, 0.7270632083918569), (0.006704449638828547, 0.752206423568079), (0.017835017413628362, 0.7641068798092974), (0.051136177487528744, 0.8156934216558992)]"
